,GradeID,SectionID,Topic,Semester,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,Class
33,G-05,A,English,F,8,22,9,40,Above-7,L
35,G-07,A,English,F,10,12,17,30,Above-7,L
46,G-05,A,English,F,7,10,1,30,Above-7,L
47,G-12,A,English,F,70,4,39,90,Under-7,H
48,G-12,A,English,F,13,80,40,88,Under-7,H
49,G-12,A,English,F,29,39,50,77,Under-7,M
50,G-12,A,English,F,20,14,12,70,Above-7,L
51,G-12,A,English,F,39,15,16,50,Above-7,L
52,G-12,A,English,F,55,90,16,40,Under-7,M
54,G-12,A,English,F,12,50,8,30,Above-7,L
60,G-05,A,English,F,21,10,28,20,Above-7,L
65,G-12,A,English,F,13,5,18,19,Above-7,L
66,G-12,A,English,F,25,10,19,30,Above-7,M
67,G-12,A,English,F,65,75,23,80,Under-7,H
73,G-07,A,English,F,19,30,26,19,Above-7,M
264,G-06,A,English,F,70,64,42,32,Under-7,M
266,G-06,A,English,F,19,80,12,17,Above-7,M
268,G-06,A,English,F,10,8,10,10,Above-7,M
270,G-06,A,English,F,90,84,52,30,Under-7,H
272,G-06,A,English,F,42,21,2,16,Under-7,M
274,G-06,A,English,F,95,82,82,70,Under-7,H
276,G-06,A,English,F,72,21,22,26,Under-7,H
278,G-06,A,English,F,82,31,52,25,Under-7,M
280,G-06,A,English,F,74,71,56,37,Under-7,H
282,G-06,A,English,F,95,94,72,80,Under-7,H
284,G-06,A,English,F,40,38,32,36,Above-7,M
286,G-06,A,English,F,51,79,85,89,Under-7,H
288,G-06,A,English,F,71,70,65,69,Under-7,M
