,GradeID,SectionID,Topic,Semester,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,Class
422,G-08,A,Geology,F,70,69,46,45,Above-7,M
424,G-08,A,Geology,F,90,79,76,79,Under-7,H
430,G-08,A,Geology,F,85,89,22,61,Under-7,H
432,G-08,A,Geology,F,95,87,62,81,Under-7,M
436,G-08,A,Geology,F,80,81,71,30,Under-7,M
440,G-08,A,Geology,F,89,87,86,15,Under-7,M
446,G-08,A,Geology,F,77,82,74,79,Under-7,M
452,G-08,A,Geology,F,25,82,52,20,Above-7,M
460,G-08,A,Geology,F,80,83,82,71,Above-7,M
466,G-08,A,Geology,F,80,82,64,58,Under-7,H
472,G-08,A,Geology,F,80,87,74,68,Under-7,M
476,G-08,A,Geology,F,50,77,14,28,Under-7,M
