,GradeID,SectionID,Topic,Semester,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,Class
27,G-08,A,Arabic,F,25,15,12,33,Above-7,L
29,G-08,A,Arabic,F,30,90,33,35,Under-7,M
30,G-08,A,Arabic,F,35,80,50,70,Under-7,H
360,G-02,A,Arabic,F,20,88,31,28,Above-7,M
362,G-02,A,Arabic,F,90,98,41,38,Under-7,H
364,G-02,A,Arabic,F,80,95,21,28,Under-7,H
366,G-02,A,Arabic,F,10,18,71,38,Above-7,M
368,G-02,A,Arabic,F,98,88,60,31,Under-7,H
370,G-02,A,Arabic,F,10,17,50,21,Under-7,M
372,G-02,A,Arabic,F,10,20,22,97,Above-7,L
374,G-02,B,Arabic,F,10,10,40,51,Above-7,L
376,G-02,B,Arabic,F,20,90,50,61,Above-7,M
378,G-02,B,Arabic,F,10,30,50,91,Above-7,L
380,G-02,B,Arabic,F,11,20,20,98,Above-7,L
382,G-02,B,Arabic,F,69,82,20,28,Under-7,H
384,G-02,B,Arabic,F,89,92,40,28,Under-7,H
386,G-02,B,Arabic,F,15,90,21,97,Under-7,M
388,G-02,B,Arabic,F,4,10,11,7,Above-7,L
