,GradeID,SectionID,Topic,Semester,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,Class
420,G-08,A,Chemistry,F,82,89,22,31,Under-7,H
426,G-08,A,Chemistry,F,80,80,62,11,Above-7,M
428,G-08,A,Chemistry,F,10,0,2,41,Above-7,L
434,G-08,A,Chemistry,F,85,87,72,10,Above-7,M
438,G-08,A,Chemistry,F,80,82,76,19,Under-7,M
444,G-08,A,Chemistry,F,75,72,64,39,Above-7,L
450,G-08,A,Chemistry,F,15,97,22,10,Under-7,H
456,G-08,A,Chemistry,F,85,90,52,30,Under-7,H
458,G-08,A,Chemistry,F,90,91,80,81,Under-7,H
464,G-08,A,Chemistry,F,85,99,42,90,Under-7,H
468,G-08,A,Chemistry,F,15,9,14,80,Above-7,L
474,G-08,A,Chemistry,F,2,7,4,8,Above-7,L
