,GradeID,SectionID,Topic,Semester,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,Class
28,G-08,A,Science,F,75,85,52,43,Under-7,M
34,G-07,B,Science,F,12,11,8,40,Above-7,L
36,G-07,B,Science,F,8,6,4,22,Above-7,L
39,G-07,B,Science,F,50,90,37,70,Under-7,M
53,G-11,A,Science,F,49,70,19,75,Under-7,H
290,G-04,A,Science,F,49,36,32,44,Above-7,L
292,G-04,A,Science,F,90,86,82,74,Under-7,H
294,G-04,A,Science,F,90,86,82,74,Above-7,M
296,G-04,A,Science,F,98,87,86,84,Under-7,H
298,G-04,A,Science,F,18,17,26,34,Above-7,M
300,G-04,A,Science,F,10,12,20,13,Above-7,L
302,G-04,B,Science,F,11,20,21,23,Under-7,M
304,G-04,B,Science,F,15,50,24,43,Under-7,M
306,G-04,B,Science,F,65,59,74,83,Under-7,H
308,G-04,B,Science,F,95,57,74,89,Above-7,M
310,G-04,B,Science,F,25,29,34,33,Above-7,M
312,G-04,B,Science,F,55,79,44,43,Under-7,H
314,G-04,B,Science,F,78,88,74,83,Under-7,H
