,GradeID,SectionID,Topic,Semester,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,Class
316,G-02,A,French,F,60,92,83,23,Under-7,H
318,G-02,A,French,F,60,97,13,3,Under-7,H
320,G-02,A,French,F,60,87,23,11,Above-7,M
322,G-02,A,French,F,10,15,10,21,Above-7,L
324,G-02,A,French,F,24,35,18,31,Under-7,M
326,G-02,A,French,F,10,15,10,21,Above-7,L
328,G-02,A,French,F,80,77,63,83,Under-7,M
330,G-02,A,French,F,40,7,50,41,Above-7,L
332,G-02,A,French,F,10,90,30,21,Under-7,M
334,G-02,A,French,F,10,8,9,3,Above-7,L
336,G-02,A,French,F,70,90,20,21,Under-7,M
338,G-02,B,French,F,78,98,10,11,Under-7,M
340,G-02,B,French,F,16,90,15,11,Under-7,M
342,G-02,B,French,F,40,87,50,41,Under-7,M
344,G-02,B,French,F,14,97,15,14,Under-7,H
345,G-02,B,French,F,13,82,20,30,Under-7,H
348,G-02,B,French,F,20,3,9,3,Above-7,L
350,G-02,B,French,F,5,13,6,6,Above-7,L
352,G-02,B,French,F,10,94,40,11,Under-7,M
354,G-02,B,French,F,30,98,42,21,Under-7,H
356,G-02,B,French,F,32,88,32,25,Under-7,M
358,G-02,B,French,F,72,98,52,15,Under-7,H
